image_path,figure_title,related_text_strong,generated_question,generated_answer
images/img_in_image_box_499_1020_1526_1542.jpg,图 1.2 并五苯薄膜晶体管的剖面结构图。其中沟道宽度为  $ 600 \mu m $ ，沟道长度为  $ 120 \mu m $ ，pmma 栅介质的厚度为 700 nm,"pmma 的一个重要应用就是作为有机薄膜晶体管中绝缘层，人们基于有机薄膜晶体管，做了大量关于 pmma 薄膜对载流子迁移率的影响的研究 $ ^{[20-33]} $ 。首先我们简单介介绍一下有机薄膜晶体管结构和原理。与无机晶体管类似的有机场效应晶体管是一种电压控制器件，其结构主要分为三部分，分别是电极，半导体有源层和绝缘层，其中电极分为栅极，源极和漏极。根据三层结构沉积的顺序不同，可将 otft 分为四种结构：底栅顶接触、底栅底接触、顶栅底接触和顶栅顶接触 $ ^{[20]} $ 。其中底栅顶接触就是栅极沉积在绝缘层下面，源、漏极沉积在半导体层上面，这种结构能够使源漏极与有机半导体很好地接触，并且在良好的绝缘层表面可以形成高质量的半导体薄膜，所以这是研究中最为广泛采用的器件结构 $ ^{[24,25,30]} $ 。以并五苯为有机半导体的底栅顶接触结构有机薄膜晶体管的示意图如图 1.2：有机薄膜晶体管可以等效为一个平板电容，由栅压控制源漏电流，做开关使用，从而实现0或1的逻辑功能 $ ^{[19]} $ 。有机半导体材料的导电率一般比较低，没有可移动的电荷，所以当栅压为零的时候源漏区没有电流流过，而当栅压加正电压时，负电荷会在有机半导体表面聚集，形成空间电荷区，在源极和漏极的电压下会形成电流，处于导通状态 $ ^{[31]} $ 。其中有机半导体材料大多为p型，最有代表性的是并五苯，由于其环形分子，有利于平行堆积及垂直于许多基底的趋势，满足获得高载流子迁移率的要求 $ ^{[11]} $ 。
2000 年以后，对作为介质层的 pmma 薄膜的研究越来越多，以 j. puigdollers 等人研究为例，他们制作了并五苯为有源层，pmma 为介质层的有机薄膜晶体管，其结构如图 1.2。pmma 薄膜采用旋涂的方法制备，整个实验过程在低温（低于  $ 170^{\circ}c $ ）下完成，通过 afm 表征得到的形貌图发现，在 pmma 介质层上的并五苯薄膜比在  $ sio_{2} $  上形成的薄膜表面更加光滑和均匀，pmma薄膜上生长的并五苯薄膜具有更好的结晶性，更有利于空穴载流子的传输，由此得到的载流子迁移率为 $ 0.01\ cm^{2}.v^{-1}.s^{-1} $ ，在并五苯薄膜晶体管中pmma薄膜显示出了比 $ sio_{2} $ 更好的介电特性 $ ^{[32]} $ 。j. puigdollers还研究了温度对这种otft迁移率的影响，当温度升高时，载流子的迁移率增加，薄膜晶体管的关态泄漏电流增加，导致开关比下降。此外，他们还把以pmma为介质层的并五苯薄膜晶体管制作在一种柔性衬底polyethylenephthalate (pen)上面，其电学特性虽然不如单晶硅衬底上制备的并五苯薄膜晶体管，但可以通过提高衬底pen薄膜表面的光滑度方法来提高器件的性能 $ ^{[33]} $ 。",根据提供的并五苯薄膜晶体管剖面结构图，请识别该器件属于哪种具体的场效应晶体管（OTFT）结构布局，并分别指出其栅电极、栅绝缘层以及源/漏接触电极所使用的具体材料。,"该器件属于底栅顶接触（Bottom-Gate Top-Contact, BGTC）结构。其中，栅电极（gate electrode）采用的是铬（Cr），栅绝缘层（gate dielectric）采用的是聚甲基丙烯酸甲酯（PMMA），源/漏接触电极（source and drain contacts）采用的是金（Au）。"
images/img_in_image_box_1021_264_1692_678.jpg,图5.1 a) -d) 镍网掩模技术制备纳米线晶体管的过程；e) 制备的纳米线晶体管的低分辨率sem图；f)  $ sio_{2} $  栅介质横截面的高分辨率sem图,"整个器件的制备过程如图5.1（a）-（d）所示。
sb轻掺杂的 $ sno_{2} $ 纳米线的形貌与结构是通过sem和tem表征。基于 $ sio_{2} $ 固态电解质的纳米线晶体管的形貌是通过sem表征。 $ sio_{2} $ 固态电解质的阻抗特性是通过阻抗分析仪（wk6500b）表征。基于 $ sio_{2} $ 固态电解质的纳米线晶体管的电学特性是通过半导体参数分析仪（keithley 4200）表征。测试过程也是在室温和大气的环境下完成的。图5.1（e）是通过镍网掩模技术制备的单根 $ sno_{2} $ 纳米线晶体管的低分辨率sem图。图5.1（f）是 $ sio_{2} $ 固态电解质横截面的高分辨率sem图。",在利用镍网掩模技术制备纳米线晶体管的结构示意图中，请根据图示从底向上依次列出该器件的各层材料构成，并结合上下文说明其中 $SiO_2$ 层在器件电学功能中扮演的具体角色。,根据示意图，该器件从底向上的结构构成依次为：玻璃基板 (Glass substrate)、ITO 栅电极 (Gate) 以及微孔二氧化硅层 (Microporous $SiO_2$)。在器件的电学功能中，$SiO_2$ 层被用作固态电解质 (Solid electrolyte)。
images/img_in_chart_box_475_594_1752_1120.jpg,图 1-4 蓝-红光分布式反馈激光器,有机激光可以产生可见光范围内的更多振动波长的光，这也是无机激光器所不具备的，因此有机固体激光器一直是 ofet 的热点应用之一。光微纳刻蚀技术（photo-nil）在制作有机分布式反馈激光器时明显的优势就是不需要干燥的刻蚀处理以及严格的光栅制作过程。yamashita 等人报道了用 photo-nil 制作的多层结构的有机激光器。如图 1-4。他们用不掺杂的 uv 树脂将 b-dfb(蓝光分布式反馈)层覆盖，即在 pmma 基板上沉积 uv 树脂层，防止损坏 dfb 光栅。用同样的方法制作 r-dfb（红光分布式反馈）层。这样就形成了具有两个 dfb 谐振腔活跃层的有机激光器，能够同时发射蓝光和红光 $ ^{[23]} $ 。,在如图所示的蓝-红光有机分布式反馈（DFB）激光器多层结构中，位于B-DFB活跃层与PMMA层之间的UV树脂层主要起到了什么作用？其结构设计目的是什么？,该UV树脂层的主要作用是保护层。其结构设计目的是为了覆盖B-DFB（蓝光分布式反馈）层，防止在后续制备（如在PMMA基板上沉积或加工）过程中对已形成的DFB光栅结构造成物理或化学损伤，从而确保谐振腔的完整性。
images/img_in_image_box_799_575_1670_1152.jpg,图4-11 晶体管ii的基本结构图,本实验使用的实验数据来自feng-yu yang等人2010年发表的文章 $ ^{[103]} $ 。晶体管ⅱ基本结构如图4-11。晶体管ⅱ参数提取结果如表4-4所示。,根据图4-11中展示的晶体管ii基本结构图，请分析该器件的栅极配置类型（顶栅或底栅），并指出用于形成源漏电极（Source/Drain）和栅极（Gate）的具体金属材料是什么？,该晶体管属于顶栅（Top-gate）结构。其中，源漏电极采用的金属材料是铂（Pt），而栅极采用的金属材料是金（Au）。
images/img_in_image_box_467_915_2009_1664.jpg,图 2-5 开口率的计算,另外，black matrix 部分为信号走线和存储电容区域，是不透光的，即存在开口率的问题，如图 2-5 所示。开口率的计算公式为：$$  开口率 = \frac{ 有效透光区域面积 }{ 全部面积 } \times 100\%  $$综合上述因素，这一层的透过率仅为 30% 左右。,在薄膜晶体管（TFT）像素设计结构中，哪些具体组件会导致开口率（Aperture Ratio）降低？请结合其物理定义说明开口率的计算方式。,导致开口率降低的主要非透光组件包括信号走线（源极电极 Source electrode 和栅极电极 Gate electrode）、用于控制开关的薄膜晶体管（TFT）以及存储电容区域。开口率的计算方式为：有效透光区域面积（即显示电极 Display electrode 中未被上述不透光组件遮挡的部分）占像素全部面积的百分比，公式为：开口率 = (有效透光区域面积 / 全部面积) × 100%。
images/img_in_image_box_665_1771_1827_2167.jpg,图 4-2 液晶玻璃表面微颗粒清除的运动模式,吸附在液晶玻璃表面的微颗粒受到几种力的共同作用而产生的吸附现象，如图 4-1 所示。从液晶玻璃表面把微颗粒清除时有三种运动模式，分别为：拉升模式、滑动模式和滚动模式 $ ^{[20]} $ ，如图 4-2 所示。,在液晶显示器基板的清洁工艺中，根据微颗粒清除的动力学模型，请简述“滚动模式（Rolling Mode）”与“滑动模式（Sliding Mode）”在受力示意与运动表现上的主要区别。,在滑动模式下，微颗粒受到平行于固体表面的作用力 $F_{	au}$，其运动表现为沿表面的线性平移；而在滚动模式下，微颗粒在受到平行于表面的作用力 $F_{	au}$ 的同时，还伴随着一个旋转力矩的作用（图中以圆弧箭头表示），使其运动表现为绕接触点的旋转并伴随位移。
images/img_in_image_box_478_862_970_1253.jpg,图 3-2 双层有机发光器件,前面讲过，直到 1987 年美国柯达公司的 tang 博士 $ ^{[9]} $  发明了三明治结构的有机机电致发光器件，才使有机电致发光技术具有实用价值。邓博士等人引入了具有高空穴传输性能的一种芳香族二胺 tpd 作空穴传输层（htl），用 8-羟基喹啉铝  $ \left(\mathrm{alq}_{3}\right) $  兼做电子传输层（etl）和发光层（eml），用 ito 玻璃作为阳极，用 mg:ag 合金作为阴极，制成了新一代双层 oled $ ^{[1]} $ ，如图 3-2 所示。,在图 3-2 所示的双层有机发光器件（OLED）结构中，请根据图示及相关技术描述，指出空穴传输层（HTL）所使用的具体材料，并说明 $Alq_3$ 层在该特定结构中承担哪两项功能？,在该双层 OLED 结构中，空穴传输层（HTL）使用的材料是芳香族二胺 TPD。$Alq_3$（8-羟基喹啉铝）层承担着双重功能：它既作为电子传输层（ETL），又作为器件的发光层（EML）。
images/img_in_image_box_404_447_1128_933.jpg,图 1 基于 mini-led 和量子点膜的直下式背光 lcd 结构示意图,"常见的背光结构主要有侧入式及直下式两种,而应用mini-led的背光往往属于直下式背光,其与量子点色彩增强膜相结合的具体结构如图1所示。背光模组中的mini-led灯板位于结构的最下方,其上放置光学功能膜片,包括扩散板、量子点膜及棱镜膜等。工作时,mini-led发出的蓝光经过扩散板的匀化及量子点膜的色彩转换后,形成均匀的白光面光源,再经由液晶模组的处理形成可视图像。lcd 使用背光模组为液晶模块供光,通过调节液晶层的光线透过率来控制最终显示画面的明暗。为达到更好的显示效果,背光模组需满足高亮度、高均匀性、广色域、可局部调光等要求。
量子点扩散板属于粒子散射型扩散板,具备散射光线的特性。通常量子点扩散板以pmma及ps等聚合物作为基体,通过熔融挤出工艺制备,量子点均匀地分散其中。与量子点膜相比,量子点扩散板省去了昂贵的阻隔膜,聚合物基体有助于减少量子点团聚现象,进一步提升量子点的稳定性。量子点扩散板背光结构如图9所示,从上至下包括棱镜膜、量子点扩散板、蓝光mini-led阵列等。对比图1与图9可知,量子点扩散板产生亮度均匀白光的基本工作原理与量子点膜类似 $ ^{[78]} $ ,都具有优秀的色彩表现力。量子点扩散板将量子点膜与扩散板合二为一,兼具色转换及散射特性，简化了背光结构。因此，在大中型尺寸电视的制造中，量子点扩散板相较于量子点膜结构更具优势。当前用于扩散板中的量子点多为ii-vi族半导体量子点，近来钙钛矿量子点由于合成简单、宽色域、光谱可调等优点，在显示领域的研究受到追捧 $ ^{[89,91]} $ 。但其稳定性同样是限制它应用的难题之一。目前，已证明通过配体修饰 $ ^{[92-94]} $ 、离子掺杂 $ ^{[95-96]} $ 、包覆 $ ^{[97-100]} $ 等手段可有效改善其稳定性。其中，包覆的方案可以很好地解决稳定性的问题。由于玻璃和聚合物的结构致密，常将钙钛矿量子点嵌入其中使之与环境隔离，提高量子点稳定性，并且由于聚合物具有良好透光性，对量子点光学性能影响较小。2022年，zhou 等人通过乙烯-醋酸乙烯酯(ethylene vinyl acetate, eva)薄膜涂覆策略制备了 $ cspbx_{3} $ 复合膜，改善了量子点的水氧稳定性并具有优良的背光性能 $ ^{[101]} $ 。chen 等人选用具有较好热稳定性的mn基钙钛矿量子点，并将其封装在ps中制成薄膜来提高量子点对环境因素的耐受性 $ ^{[102]} $ 。lin 的课题组通过控制成核/生长过程，在硼硅酸盐玻璃中沉淀了 $ cspbbr_{3} $ 量子点，制备了 $ cspbbr_{3}@glass@pdms $ 薄膜，得益于玻璃与聚合物的双重保护，复合膜经受高温高湿的老化实验后，仍具有优异的背光色彩表现 $ ^{[103-104]} $ 。chen 等人采用原位超声喷涂法制备了 $ cspbbr_{3}@pmma $ 复合膜，该膜具有宽色域、高色准度及稳定的环境存储性能，可应用于lcd背光显示 $ ^{[87]} $ 。另外，yang 等人在 $ cspbbr_{3} $ 钙钛矿量子点玻璃中掺入mgo，制备了高色域的背光转换膜。通过控制mgo的含量，可实现在522~533 nm的窄范围波长可调。mgo的加入增强了钙钛矿量子点的光学特性与稳定性 $ ^{[105]} $ 。总之，针对钙钛矿水氧稳定性弱的问题，已开展了大量研究。在不断的性能优化下，钙钛矿量子点在背光显示中展现出巨大应用前景。与聚合物结合后，钙钛矿量子点在扩散板中的应用值得被进一步探索。",在如图 1 所示的基于 Mini-LED 和量子点膜的直下式背光 LCD 结构中，请简述从最底层的光源出发，光线依次经过哪些主要光学功能膜层，并说明在这些膜层中光线的物理状态或颜色是如何发生变化的？,"光线从最底层的 Mini-LED 阵列发出后，依次经过以下膜层及变化：
1. **扩散板**：Mini-LED 发出的初始蓝光进入扩散板，利用其粒子散射特性将点光源发出的不均匀光线进行匀化，消除“热点”现象。
2. **量子点膜**：匀化后的蓝光进入量子点膜，通过色彩转换作用，激发出红光和绿光，并与剩余的蓝光混合形成均匀的白光面光源。
3. **棱镜膜**：形成的白光经过棱镜膜进行聚光和光线角度处理，最后进入液晶模组（LCM）用于图像显示。"
images/img_in_image_box_504_737_1880_1834.jpg,图 1.1.2.1 c.w.tang 等 1987 年制备的第一个高效 oled 结构,直到 1987 年，美国柯达公司的 c.w.tang $ ^{[5]} $  等取的了具有里程碑意义的突破。他们制得的发光二级管器件(见图 1.1.2.1)是由合金 mg/ag 做为阴极，铟-锡氧化物的透明薄膜作为阳极，其中夹有两层有机分子芳香二胺衍生物 (tpd) 和八羟基喹啉铝(alq3)，首次引入tpd为空穴传输层，并使用alq3为发光层，在10 v驱动电压下得到了亮度为 $ 1000\ cd/m^{2} $ 的绿光器件，发光效率为1.5 lm/w，寿命在100小时以上。这使得有机电致发光的研究取得了实质性的突破，并且成为世界范围内的一个研究热点，掀起了有机电致发光应用研究的热潮。同时也提供了oled开发者以后努力的方向即，有效的使电子和空穴复合，具有划时代的科学意义。,在1987年C.W. Tang制备的首个高效有机发光二极管（OLED）结构中，分别采用了哪两种具体的有机材料作为空穴传输层和发光层？此外，该器件在10 V驱动电压下的亮度和发光效率达到了多少？,在该OLED结构中，采用芳香二胺衍生物（TPD）作为空穴传输层，采用八羟基喹啉铝（Alq3）作为发光层。该器件在10 V驱动电压下得到了1000 cd/m²的亮度和1.5 lm/W的发光效率。
images/img_in_image_box_701_234_1677_900.jpg,图 3.1 多层电极的结构图,如图 3.1 所示，是薄膜电极的结构示意图。,在显示技术的研究中，多层电极结构常用于优化器件的光电性能。请根据提供的多层电极结构示意图，详细描述该电极从基底（Substrate）向上各功能层的堆叠顺序及其对应的化学成分。,该薄膜电极采用的是典型的介质/金属/介质（DMD）三层堆叠结构。从基底（Substrate）开始向上，各功能层的顺序及化学组成依次为：1. 紧贴基底的第一层为五氧化二铌（Nb2O5）电介质层；2. 中间层为金属银（Ag）导电层；3. 最顶层为第二层五氧化二铌（Nb2O5）电介质层。
